company_name,company_price_intraday,company_symbol_link
Apple Inc.,364.11,https://finance.yahoo.com/sector/ms_technology//quote/AAPL?p=AAPL
Microsoft Corporation,206.26,https://finance.yahoo.com/sector/ms_technology//quote/MSFT?p=MSFT
Taiwan Semiconductor Manufacturing Company Limited,58.62,https://finance.yahoo.com/sector/ms_technology//quote/TSM?p=TSM
Intel Corporation,59.13,https://finance.yahoo.com/sector/ms_technology//quote/INTC?p=INTC
NVIDIA Corporation,384.49,https://finance.yahoo.com/sector/ms_technology//quote/NVDA?p=NVDA
Adobe Inc.,442.95,https://finance.yahoo.com/sector/ms_technology//quote/ADBE?p=ADBE
"salesforce.com, inc.",192.53,https://finance.yahoo.com/sector/ms_technology//quote/CRM?p=CRM
Oracle Corporation,55.94,https://finance.yahoo.com/sector/ms_technology//quote/ORCL?p=ORCL
ASML Holding N.V.,373.22,https://finance.yahoo.com/sector/ms_technology//quote/ASML?p=ASML
Accenture plc,215.72,https://finance.yahoo.com/sector/ms_technology//quote/ACN?p=ACN
Broadcom Inc.,315.47,https://finance.yahoo.com/sector/ms_technology//quote/AVGO?p=AVGO
Shopify Inc.,"1,029.97",https://finance.yahoo.com/sector/ms_technology//quote/SHOP?p=SHOP
Texas Instruments Incorporated,125.81,https://finance.yahoo.com/sector/ms_technology//quote/TXN?p=TXN
International Business Machines Corporation,119.70,https://finance.yahoo.com/sector/ms_technology//quote/IBM?p=IBM
QUALCOMM Incorporated,91.87,https://finance.yahoo.com/sector/ms_technology//quote/QCOM?p=QCOM
Sony Corporation,70.23,https://finance.yahoo.com/sector/ms_technology//quote/SNE?p=SNE
"Fidelity National Information Services, Inc.",136.78,https://finance.yahoo.com/sector/ms_technology//quote/FIS?p=FIS
Intuit Inc.,305.30,https://finance.yahoo.com/sector/ms_technology//quote/INTU?p=INTU
"ServiceNow, Inc.",414.21,https://finance.yahoo.com/sector/ms_technology//quote/NOW?p=NOW
"Fiserv, Inc.",98.25,https://finance.yahoo.com/sector/ms_technology//quote/FISV?p=FISV
"VMware, Inc.",149.88,https://finance.yahoo.com/sector/ms_technology//quote/VMW?p=VMW
"Advanced Micro Devices, Inc.",52.34,https://finance.yahoo.com/sector/ms_technology//quote/AMD?p=AMD
"Applied Materials, Inc.",61.00,https://finance.yahoo.com/sector/ms_technology//quote/AMAT?p=AMAT
"Micron Technology, Inc.",49.83,https://finance.yahoo.com/sector/ms_technology//quote/MU?p=MU
"Uber Technologies, Inc.",30.68,https://finance.yahoo.com/sector/ms_technology//quote/UBER?p=UBER
"Autodesk, Inc.",240.15,https://finance.yahoo.com/sector/ms_technology//quote/ADSK?p=ADSK
"Square, Inc.",113.39,https://finance.yahoo.com/sector/ms_technology//quote/SQ?p=SQ
Lam Research Corporation,323.70,https://finance.yahoo.com/sector/ms_technology//quote/LRCX?p=LRCX
Atlassian Corporation Plc,190.08,https://finance.yahoo.com/sector/ms_technology//quote/TEAM?p=TEAM
"Analog Devices, Inc.",121.24,https://finance.yahoo.com/sector/ms_technology//quote/ADI?p=ADI
"Workday, Inc.",188.45,https://finance.yahoo.com/sector/ms_technology//quote/WDAY?p=WDAY
Infosys Limited,9.92,https://finance.yahoo.com/sector/ms_technology//quote/INFY?p=INFY
Dell Technologies Inc.,53.75,https://finance.yahoo.com/sector/ms_technology//quote/DELL?p=DELL
"DocuSign, Inc.",190.99,https://finance.yahoo.com/sector/ms_technology//quote/DOCU?p=DOCU
Splunk Inc.,199.91,https://finance.yahoo.com/sector/ms_technology//quote/SPLK?p=SPLK
Telefonaktiebolaget LM Ericsson (publ),9.31,https://finance.yahoo.com/sector/ms_technology//quote/ERIC?p=ERIC
KLA Corporation,196.51,https://finance.yahoo.com/sector/ms_technology//quote/KLAC?p=KLAC
Cognizant Technology Solutions Corporation,56.08,https://finance.yahoo.com/sector/ms_technology//quote/CTSH?p=CTSH
"Synopsys, Inc.",197.58,https://finance.yahoo.com/sector/ms_technology//quote/SNPS?p=SNPS
Amphenol Corporation,95.87,https://finance.yahoo.com/sector/ms_technology//quote/APH?p=APH
"Cadence Design Systems, Inc.",97.82,https://finance.yahoo.com/sector/ms_technology//quote/CDNS?p=CDNS
"Datadog, Inc.",89.59,https://finance.yahoo.com/sector/ms_technology//quote/DDOG?p=DDOG
TE Connectivity Ltd.,80.88,https://finance.yahoo.com/sector/ms_technology//quote/TEL?p=TEL
Microchip Technology Incorporated,104.61,https://finance.yahoo.com/sector/ms_technology//quote/MCHP?p=MCHP
"Okta, Inc.",207.76,https://finance.yahoo.com/sector/ms_technology//quote/OKTA?p=OKTA
"ANSYS, Inc.",297.97,https://finance.yahoo.com/sector/ms_technology//quote/ANSS?p=ANSS
"RingCentral, Inc.",287.63,https://finance.yahoo.com/sector/ms_technology//quote/RNG?p=RNG
HP Inc.,17.07,https://finance.yahoo.com/sector/ms_technology//quote/HPQ?p=HPQ
"VeriSign, Inc.",210.81,https://finance.yahoo.com/sector/ms_technology//quote/VRSN?p=VRSN
STMicroelectronics N.V.,27.09,https://finance.yahoo.com/sector/ms_technology//quote/STM?p=STM
Marvell Technology Group Ltd.,35.02,https://finance.yahoo.com/sector/ms_technology//quote/MRVL?p=MRVL
"Xilinx, Inc.",95.29,https://finance.yahoo.com/sector/ms_technology//quote/XLNX?p=XLNX
"CrowdStrike Holdings, Inc.",107.27,https://finance.yahoo.com/sector/ms_technology//quote/CRWD?p=CRWD
"Motorola Solutions, Inc.",135.09,https://finance.yahoo.com/sector/ms_technology//quote/MSI?p=MSI
Fortive Corporation,68.15,https://finance.yahoo.com/sector/ms_technology//quote/FTV?p=FTV
Fortive Corporation,861.21,https://finance.yahoo.com/sector/ms_technology//quote/FTV-PA?p=FTV-PA
"Fortinet, Inc.",138.44,https://finance.yahoo.com/sector/ms_technology//quote/FTNT?p=FTNT
