company_name,company_price_intraday,company_symbol,company_symbol_link
Apple Inc.,364.11,AAPL,https://finance.yahoo.com/sector/ms_technology/quote/AAPL?p=AAPL
Microsoft Corporation,206.26,MSFT,https://finance.yahoo.com/sector/ms_technology/quote/MSFT?p=MSFT
Taiwan Semiconductor Manufacturing Company Limited,58.62,TSM,https://finance.yahoo.com/sector/ms_technology/quote/TSM?p=TSM
Intel Corporation,59.13,INTC,https://finance.yahoo.com/sector/ms_technology/quote/INTC?p=INTC
NVIDIA Corporation,384.49,NVDA,https://finance.yahoo.com/sector/ms_technology/quote/NVDA?p=NVDA
Adobe Inc.,442.95,ADBE,https://finance.yahoo.com/sector/ms_technology/quote/ADBE?p=ADBE
"salesforce.com, inc.",192.53,CRM,https://finance.yahoo.com/sector/ms_technology/quote/CRM?p=CRM
Oracle Corporation,55.94,ORCL,https://finance.yahoo.com/sector/ms_technology/quote/ORCL?p=ORCL
ASML Holding N.V.,373.22,ASML,https://finance.yahoo.com/sector/ms_technology/quote/ASML?p=ASML
Accenture plc,215.72,ACN,https://finance.yahoo.com/sector/ms_technology/quote/ACN?p=ACN
Broadcom Inc.,315.47,AVGO,https://finance.yahoo.com/sector/ms_technology/quote/AVGO?p=AVGO
Shopify Inc.,"1,029.97",SHOP,https://finance.yahoo.com/sector/ms_technology/quote/SHOP?p=SHOP
Texas Instruments Incorporated,125.81,TXN,https://finance.yahoo.com/sector/ms_technology/quote/TXN?p=TXN
International Business Machines Corporation,119.70,IBM,https://finance.yahoo.com/sector/ms_technology/quote/IBM?p=IBM
QUALCOMM Incorporated,91.87,QCOM,https://finance.yahoo.com/sector/ms_technology/quote/QCOM?p=QCOM
Sony Corporation,70.23,SNE,https://finance.yahoo.com/sector/ms_technology/quote/SNE?p=SNE
"Fidelity National Information Services, Inc.",136.78,FIS,https://finance.yahoo.com/sector/ms_technology/quote/FIS?p=FIS
Intuit Inc.,305.30,INTU,https://finance.yahoo.com/sector/ms_technology/quote/INTU?p=INTU
